Date,Sales,Temperature,Customers,Product_Type
2024-01-01,1250.50,15.5,45,A
2024-01-02,1380.75,16.2,52,B
2024-01-03,1156.25,14.8,38,A
2024-01-04,1420.00,17.1,58,C
2024-01-05,1298.75,15.9,49,B
2024-01-06,1567.25,18.4,67,A
2024-01-07,1445.50,16.7,55,C
2024-01-08,1234.00,14.2,41,B
2024-01-09,1598.75,19.1,71,A
2024-01-10,1367.25,15.8,53,C
2024-01-11,1489.50,17.5,62,B
2024-01-12,1223.75,13.9,39,A
2024-01-13,1678.25,20.3,78,C
2024-01-14,1534.50,18.7,65,B
2024-01-15,1412.75,16.4,57,A
2024-01-16,1290.00,15.1,47,C
2024-01-17,1756.25,21.6,82,B
2024-01-18,1445.75,17.2,59,A
2024-01-19,1398.50,16.8,54,C
2024-01-20,1567.00,18.9,68,B
2024-01-21,1234.25,14.5,42,A
2024-01-22,1689.75,20.7,79,C
2024-01-23,1523.50,18.1,64,B
2024-01-24,1378.25,16.3,51,A
2024-01-25,1445.00,17.4,58,C
2024-01-26,1612.75,19.8,73,B
2024-01-27,1367.50,15.7,52,A
2024-01-28,1534.25,18.2,66,C
2024-01-29,1456.75,17.0,61,B
2024-01-30,1289.50,15.0,46,A 
